#Chinese	#English	#Sentences
七誡運動歌	Song of Encouragement
 	 	The BLIA Women actively participate in community service activities and are committed to charitable endeavors.
 	 	作為國際佛光會員，佛光婦女促進文化交流和促進佛法的傳播。
 	 	As members of BLIA, the BLIA Women promote cultural exchange and the propagation of Dharma.
 	 	佛光婦女與其他國際分會合作，組織年度婦女論壇以探討社會現象。
 	 	The BLIA Women collaborate with other international chapters to organize the annual Women's Forum to discuss social phenomena.
 	 	佛光婦女成員經常在活動中擔任義工，展現了她們的熱情與奉獻精神。
 	 	Members of the BLIA Women often volunteer at events, demonstrating their enthusiasm and dedication.
佛光婦女聯誼委員會	Buddha's Light Women's Fellowship Committee
 	 	佛光婦女聯誼委員會最近舉辦了一場慈善活動，籌集資金幫助貧困家庭。
 	 	The Buddha's Light Women's Fellowship Committee recently organized a charity event to raise funds for underprivileged families.
 	 	作為佛光婦女聯誼委員會的會長，她鼓勵成員多參加社區服務。
 	 	As the president of the Buddha's Light Women's Fellowship Committee, she encouraged members to participate more in community services.
 	 	佛光婦女聯誼委員會定期舉行研討會，提升會員的靈性和文化素養。
 	 	The Buddha's Light Women's Fellowship Committee regularly holds seminars to enhance the spiritual and cultural literacy of its members.
 	 	佛光婦女聯誼委員會的成員們每月一次聚會，分享彼此的生活經驗。
 	 	Members of the Buddha's Light Women's Fellowship Committee meet monthly to share their life experiences with each other.
佛光學	Fo Guang Buddhist / Buddha's Light Studies
 	 	他在大學選擇了佛光學作為他的主修科目，致力於研究佛教文化和哲學。
 	 	He chose Fo Guang Buddhist Studies as his major in university, dedicating himself to the study of Buddhist culture and philosophy.
 	 	佛光學會的會長邀請著名學者來講解最新的佛學研究成果。
 	 	The president of the BLIA Fo Guang Buddhist Studies Society invited renowned scholars to discuss the latest findings in Buddhist studies.
 	 	參加佛光學的研討會讓我對佛教的智慧和歷史有了更深刻的理解。
 	 	Attending the Buddha's Light Studies seminar gave me a deeper understanding of the wisdom and history of Buddhism.
 	 	她希望通過學習佛光學，能夠將心靈的平和帶給更多人。
 	 	She hopes that by studying Buddha's Light Studies, she can bring peace of mind to more people.
佛光家庭	BLIA Family
 	 	在這個充滿愛與支持的佛光家庭裡，我們一起修行，一起成長。
 	 	In this loving and supportive BLIA Family, we practice together and grow together.
 	 	身為佛光家庭的一員，每個人都感受到溫暖和鼓勵。
 	 	As a member of the BLIA Family, everyone feels warmth and encouragement.
 	 	佛光家庭的活動總是充滿歡樂與學習的機會。
 	 	Events within the BLIA Family are always filled with joy and learning opportunities.
 	 	他在佛光家庭中找到了生命的意義以及追求慈善的熱情。
 	 	He found the meaning of life and a passion for charity within the BLIA Family.
佛光寶寶祝福禮	Fo Guang (Buddha's Light as well) Baby Blessing Ceremony
 	 	上週末，我們參加了婆婆參加了國際佛光會舉辦的佛光寶寶祝福禮，看到小朋友們個個都非常可愛。
 	 	Last weekend, my mother-in-law attended the Fo Guang (Buddha's Light as well) Baby Blessing Ceremony organized by the BLIA, and we saw all the children looking very adorable.
 	 	在佛光寶寶祝福禮上，法師們為每個寶寶進行加持，祝願他們健康快樂成長。
 	 	At the Fo Guang (Buddha's Light as well) Baby Blessing Ceremony, the venerable priests bestowed blessings upon each baby, wishing them to grow up healthy and happy.
 	 	佛光寶寶祝福禮是一個充滿愛和祝福的活動，讓家長們感受到社區的溫暖支持。
 	 	The Fo Guang (Buddha's Light as well) Baby Blessing Ceremony is an event full of love and blessings, providing parents with a sense of warm community support.
 	 	我們希望能夠每年參加佛光寶寶祝福禮，見證寶寶的成長和變化。
 	 	We hope to participate in the Fo Guang (Buddha's Light as well) Baby Blessing Ceremony every year to witness our baby's growth and changes.
佛光山國際翻譯中心	Fo Guang Shan International Translation Center
 	 	佛光山國際翻譯中心致力於促進全球佛教經典的翻譯工作。
 	 	The Fo Guang Shan International Translation Center is dedicated to promoting the translation of Buddhist scriptures worldwide.
 	 	作為佛光山國際翻譯中心的主任，她負責監督各種翻譯項目的進度。
 	 	As the director of the Fo Guang Shan International Translation Center, she oversees the progress of various translation projects.
 	 	來自世界各地的學者在佛光山國際翻譯中心參加年度佛教翻譯研討會。
 	 	Scholars from around the world attend the annual Buddhist translation seminar at the Fo Guang Shan International Translation Center.
 	 	佛光山國際翻譯中心最近出版了一本新的中英文佛教詞彙手冊。
 	 	The Fo Guang Shan International Translation Center recently published a new bilingual handbook of Buddhist terminology.
佛光山教團	Fo Guang Shan Buddhist Order
 	 	佛光山教團致力於推廣人間佛教的理念，促進世界和平與互助。
 	 	The Fo Guang Shan Buddhist Order is dedicated to promoting the philosophy of Humanistic Buddhism and fostering world peace and mutual assistance.
 	 	她在佛光山教團擔任志工多年，在修行中找到了自我提升的途徑。
 	 	She has been volunteering with the Fo Guang Shan Buddhist Order for many years and has found a path to self-improvement through spiritual practice.
 	 	佛光山教團的僧團定期舉辦誦經和禪修活動，吸引來自世界各地的信徒參加。
 	 	The monastic community of the Fo Guang Shan Buddhist Order regularly organizes chanting and meditation events, attracting devotees from around the world.
 	 	佛光山教團在各大洲建立了許多道場，成為全球佛教徒的信仰中心。
 	 	The Fo Guang Shan Buddhist Order has established many temples across the continents, serving as a center of faith for Buddhists worldwide.
佛光成年禮	Buddha's Light Adulthood Ceremony
 	 	今年的佛光成年禮在佛光山隆重舉行，吸引了眾多信徒參加。
 	 	This year's Buddha's Light Adulthood Ceremony was grandly held at Fo Guang Shan, attracting numerous devotees.
 	 	在佛光成年禮上，青年們立下了成為負責任成年人的誓言。
 	 	At the Buddha's Light Adulthood Ceremony, the youths pledged to become responsible adults.
 	 	佛光成年禮的儀式包含多項傳統活動，讓參與者感受到佛教文化的深厚意義。
 	 	The rituals of the Buddha's Light Adulthood Ceremony include various traditional activities, allowing participants to feel the profound significance of Buddhist culture.
 	 	國際佛光會會長在佛光成年禮上發表了講話，鼓勵青年們以慈悲和智慧面對未來的挑戰。
 	 	The president of BLIA delivered a speech at the Buddha's Light Adulthood Ceremony, encouraging youths to face future challenges with compassion and wisdom.
佛光攝影委員會	BLIA Photography Committee
 	 	佛光攝影委員會每年舉辦國際攝影比賽，吸引了來自世界各地的攝影師參加。
 	 	The BLIA Photography Committee hosts an international photography contest annually, attracting photographers from around the world.
 	 	作為佛光攝影委員會的成員，他負責策劃每月攝影講座。
 	 	As a member of the BLIA Photography Committee, he is responsible for organizing monthly photography seminars.
